EAN-13;Descricao;Cod.Prod;Validade;Porcao;Kcal;Carboidratos;Proteinas;GordurasTotais;GordurasSaturadas;GordurasTrans;Colesterol;Fibra;Calcio;Ferro;Sodio
11577;CEREJINHA BUFALA BUF.DOUR.C/AZ;11577-0;7;30;97;2;6;7,2;5,2;0;0;0;150;0;60
11575;CEREJINHA BUFALA BUF.DOUR.C/DA;11575-4;7;30;97;2;6;7,2;5,2;0;0;0;150;0;60
11578;CEREJINHA BUFALA BUF.DOUR.C/TO;11578-9;7;30;97;2;6;7,2;5,2;0;0;0;150;0;60
11568;CEREJINHA BUFALA BUF.DOUR.REC.;11568-1;7;30;97;2;6;7,2;5,2;0;0;0;150;0;60
11572;CEREJINHA BUFALA BUF.DOUR.REC.;11572-0;7;30;97;2;6;7,2;5,2;0;0;0;150;0;60
5436;CHARQUE PAINEIRA TRASEIRO KG P;5436-4;999;30;46;0;7;2;1;0;19;0;4;0;0,5
13472;CHEESE CAKE 600g IND;13472-4;5;60;179;23;1,5;9;6,6;0;0;0,1;0;0;24
13423;CHEESE CAKE CONGELADA 600g UND;13423-6;180;60;179;23;1,5;9;6,6;0;0;0,1;0;0;24
3681;CHESTER LANCHE PERDIGAO FATIAS;3681-1;40;40;58;2,1;6;2,8;0,8;0;0;0;0;0;462
6930;CHESTER LANCHE PERDIGAO RALADO;6930-2;999;50;140;2;23;5;0;20;0;1;0;0;100
11643;CHICKEN E HOMMUS SALAD 250g;11643-2;6;100;49;4;2,2;2,1;0,3;0;0;1,9;0;0;18
11410;CHIMIA GOIABADA BISTEK kg;11410-3;30;20;49;11;0;0;0;0;0;0;0;0;23
9686;CHIPA AMME KG;9686-5;3;50;150;26;0,8;4,8;1;0;0;0;0;0;85
35916;CHIPA AZEITONA BISTEK;35916-5;999;50;165;16;3,5;9,7;3,3;1,8;0;0;0;0;47
11725;CHIPA AZEITONA BISTEK kg;11725-0;4;40;117;14;1,9;5,9;1,6;0;0;0;0;0;294
11263;CHIPA BISTEK KG;11263-1;2;50;187;19;3,5;9,5;2,5;0;0;0;0;0;337
8256;CHIPA BK KG;8256-2;999;50;180;17,7;3,8;10,1;3,8;2,1;0;0;0;0;319
