EAN-13;Descricao;Cod.Prod;Validade;Porcao;Kcal;Carboidratos;Proteinas;GordurasTotais;GordurasSaturadas;GordurasTrans;Colesterol;Fibra;Calcio;Ferro;Sodio
7204;ABACATE FEIRINHA kg;7204-4;10;100;96;6;1,2;8,4;2,3;0;0;6,3;0;0;0
10741;ABACAXI COSTA RICA FRESH&GOURM;10741-7;3;100;52,9;13,6;0,8;0;0;0;0;0,9;6,7;0,1;0
8466;ABACAXI CUBOS COPO KG;8466-2;6;50;24;6;0,5;0,3;0;0;0;0,5;0;0;30
3000030614502;ABACAXI EM RODELAS FRESH&GOURM;306145-0;6;600;0;9,2;0,6;0;0;0;0;0,7;0;0;0
7483;ABACAXI EMBALADO KG;7483-7;12;100;48;12,3;0,9;0;0;0;0;1;22;0,3;0
2546;ABACAXI FATIADO KG;2546-1;7;100;48,3;12,3;0,9;0;0;0;0;1;22,4;0,3;0
3670;ABACAXI FATIAS ROTISSERIE KG;3670-6;999;100;55;12;0;0;0;0;0;1,2;0;0;0
4142;ABACAXI FESTIVAL;4142-4;4;140;68;17;1,2;0,1;0;0;0;1,4;0;0;0
3000030432748;ABACAXI FESTIVAL;304327-4;4;140;68;17;1,2;0,1;0;0;0;1,4;0;0;0
4231;ABACAXI HAVAI FATIADO 300G;4231-5;7;0;144;36,9;2,7;0,3;0;0;0;3;0;0;0
3000030464510;ABACAXI HAVAI FATIADO 300G;304645-1;7;300;144;36,9;2,7;0,3;0;0;0;3;0;0;0
3813;ABACAXI HAVAI FEIRINHA UNIDADE;3813-0;999;50;24;6;0,5;0;0;0;0;0,5;0;0;0
10393;ABACAXI PEROLA C/ CANELA CORTE;10393-4;3;50;24;6;0,5;0,3;0;0;0;0,5;0;0;30
3812;ABACAXI PEROLA FEIRINHA UNIDAD;3812-1;10;50;24;6;0,5;0;0;0;0;0,5;0;0;0
10720;ABACAXI PEROLA FRESH&GOURMET G;10720-4;3;150;81;19;1;0;0;0;0;2;0;0;0
10744;ABACAXI PEROLA FRESH&GOURMET P;10744-1;2;150;81;19;1;0;0;0;0;2;0;0;0
871;ABACAXI PEROLA UNIDADE;871-0;999;100;48,3;12,3;0,9;0;0;0;0;1;0;0,3;0
7482;ABACAXI RODELAS FRESH&GOURMET;7482-9;12;100;48;12,3;0,9;0;0;0;0;1;22;0,3;0
3000030591544;ABACAXICOUVE/GENG/HORT FLV-BIS;305915-4;5;200;93;24;1,2;0,2;0;0;0;3;0;0;3
3000030586892;ABO/CEN. ESPAG.FRESH&GOURMET 6;305868-9;6;100;98;18;2,5;2,9;0,4;0;0;0,7;0;0;191
3000030586977;ABOB. ESPAGUETE FRSH&GOURMET 4;305869-7;6;100;14;3,3;0,6;0;0;0;0;1,2;0;0;0
8309;ABOBORA C/CARNE SECA ROT KG;8309-7;5;50;33;1,5;1,2;2,5;1,6;0;0;0,7;0;0;95
6281;ABOBORA C/COCO BOMDOCE KG;6281-2;999;20;66;14;0;1,3;1,1;0;0;0,5;0;0;0
9512;ABOBORA C/ERVAS OP kg;9512-5;4;100;61;8,2;1,7;2,4;0,3;0;0;2,2;0;0;111
9092;ABOBORA C/ERVAS ROT KG;9092-1;1;100;61;8,2;1,7;2,4;0,3;0;0;2,2;0;0;111
6137;ABOBORA EM CUBOS KG;6137-9;999;100;14;3,3;0,6;0;0;0;0;1,2;9;0,2;0
11286;ABOBORA MINNAS ORIGENS kg;11286-0;10;40;39;20;9;0;0;0;0;0;0;0;0
574;ABOBORA P/ DOCE kg;574-6;7;100;14;3,3;0,6;0;0;0;0;1,2;9;0,2;0
7594;ABOBORA P/DOCE EMB KG;7594-9;7;100;24;6,1;2,3;0;0;0;0;2,3;0;0,3;0
7180;ABOBORA PAULISTA FEIRINHA kg;7180-3;10;50;19;4,2;0,8;0,3;0,1;0;0;1,1;0;0;0
1402;ABOBORA PAULISTA kg;1402-8;7;100;31;7,9;0,6;0,1;0;0;0;2,6;19;0,2;1
8306;ABOBRINHA CAPRESE ROT KG;8306-2;1;150;98;5,9;5,6;5,8;2,8;0;0;1,8;0;0;329
3000030586380;ABOBRINHA CARPACHIO FRESH&GOUR;305863-8;6;100;14;3,3;0,6;0;0;0;0;1,2;0;0;0
10462;ABOBRINHA ITALI.MILANESA OP kg;10462-0;1;100;314;48;8,6;2;0;0;0;2,2;0;0;421
7223;ABOBRINHA ITALI.MILANEZA ROT.B;7223-0;1;100;314;48;8,6;2,1;0;0;53;2,2;26;0,6;421
1011;ABOBRINHA ITALIA EMB KG;1011-1;9;50;15;4;0,3;0,1;0;0;0;1,3;0;0;0,3
3000030578958;ABOBRINHA ITALIA FRESH&GOURMET;305789-5;6;100;19,3;4,3;1,1;0;0;0;0;1,4;15,1;0,2;0
7037;ABOBRINHA ITALIANA FEIRINHA kg;7037-8;10;50;15;4;0,3;0,1;0;0;0;1,3;0;0;0,3
8742;ACAFRAO FEIRINHA KG;8742-4;999;100;354;65;8;10;3,1;0;0;21;183;41,4;38
8446;ACAFRAO KG;8446-8;999;100;354;65;8;10;3,1;0;0;21;183;41,4;38
11077;ACARAJE BISTEK KG;11077-9;1;100;452;8,5;4,2;45;11;0;0;2,6;0;0;255
7445;ACELGA ROT KG;7445-4;999;50;10,5;2,3;0,7;0;0;0;0;0,5;21,5;0,1;0,5
1214;ACEM  ACEM A CACAROLA;1214-9;999;100;219;0;21;14;6;0;0;0;0;0;65
6074;ACEM  ACEM A CACAROLA;6074-7;999;100;219;0;21;14;9;0;0;0;0;0;65
1212;ACEM  BIFE ECONOMICO;1212-2;999;100;219;0;21;14;6;0;0;0;0;0;65
2770;ACEM  CORTE PARA ESPETINHO;2770-7;999;100;219;0;21;14;6;0;0;0;0;0;65
6075;ACEM  CORTE PARA ESPETINHO;6075-5;999;100;219;0;21;14;9;0;0;0;0;0;65
5910;ACEM  INDIVIDUAL;5910-2;999;100;219;0;21;14;6;0;0;0;0;0;65
2003;ACEM  ISCA;2003-6;999;100;219;0;21;14;6;0;0;0;0;0;65
6076;ACEM  ISCA;6076-3;999;100;219;0;21;14;9;0;0;0;0;0;65
1364;ACEM  LOMBINHO PARA ASSAR;1364-1;999;100;219;0;21;14;6;0;0;0;0;0;65
5911;ACEM  LOMBINHO PARA ASSAR;5911-0;999;100;219;0;21;14;6;0;0;0;0;0;0,6
2004;ACEM  PICADAO P/PANELA;2004-4;999;100;219;0;21;14;6;0;0;0;0;0;65
6077;ACEM  PICADAO P/PANELA;6077-1;999;100;219;0;21;14;9;0;0;0;0;0;65
2002;ACEM  PICADINHO;2002-8;999;100;219;0;21;14;6;0;0;0;0;0;65
6078;ACEM  PICADINHO;6078-0;999;100;219;0;21;14;9;0;0;0;0;0;65
10335;ACEM ASSADO RESF.KG;10335-7;1;100;215;0;27;11;5;0;0;0;0;0;456
7728;ACEM BOVINO KG;7728-3;1;100;215;0;27,3;10,9;5,5;0;107;0;0;0;456
9481;ACEM BOVINO OP kg;9481-1;1;100;215;0;27;11;5,5;0;0;0;0;0;456
1439;ACEM EMBALAGEM MACRO;1439-7;999;100;185;0;190;130;50;97;0;0;0;0;5
1368;ACEM MACRO INDIVIDUAL;1368-4;999;100;219;0;21;14;6;0;0;0;0;0;65
6494;ACEM PARA ASSAR SALGADO (FRESC;6494-7;999;100;137;0;19,4;5,9;4;0;0;0;0;0;366
2192;ACEM SALGADO;2192-0;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;978
6024;ACEM SALGADO;6024-0;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
3343;ACEM SALGADO  LOMB P/ASSAR;3343-0;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;978
6025;ACEM SALGADO  LOMB P/ASSAR;6025-9;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;0
6540;ACEM SALGADO (FRESCAL);6540-4;999;100;137;0;19,4;5,9;4;0;0;0;0;0;471
840;ACEROLA 300g BD;840-0;5;100;33;8;0,9;0;0;0;0;1,5;13;0,2;0
10770;ACEROLA EMB.COPO kg;10770-0;4;100;0;0;0;0;0;0;0;0,2;0;0;0
3000030614694;AGUA DE COCO FRESH&GOURMET 300;306146-9;3;0;0,3;0;1,3;0,3;0;0;0;0;0;0;0
3000013171640;AGUA POTAVEL PADARIA LT;131716-4;999;80;306;42;5;12;5,6;0;0;1;0;0;119
5979;AGULHA;5979-0;999;100;219;0;21;14;6;0;0;0;0;0;65
1308;AGULHA  GRAVATINHA;1308-0;999;100;219;0;21;14;6;0;0;0;0;0;65
5980;AGULHA  GRAVATINHA;5980-3;999;100;219;0;21;14;6;0;0;0;0;0;65
2011;AGULHA  PICADAO P/PANELA;2011-7;999;100;219;0;21;14;6;0;0;0;0;0;65
6079;AGULHA  PICADAO P/PANELA;6079-8;999;100;219;0;21;14;9;0;0;0;0;0;65
2900;AGULHA EMBALAGEM MACRO;2900-9;999;100;148;0;280;90;40;0;0;0;0;0;0
3429;AGULHA MACRO INDIVIDUAL;3429-0;999;100;219;0;21;14;6;0;0;0;0;0;65
9025;AGULHA MOIDA;9025-5;1;100;0;0;0;0;0;0;0;0;0;0;0
3625;AIPIM A BOLONHESA RESTAURANTE;3625-0;999;150;188;31,1;15,8;3,3;1,4;0;0;2,6;0;0;1059
7222;AIPIM C/ CARNE MOIDA ROT.KG;7222-2;1;50;62;7,8;1,6;2,7;1,3;0;8,4;0,4;0;0;22
10463;AIPIM C/BACON OP kg;10463-9;3;100;198;30;3,1;7,5;2,4;0;0;0;0;0;411
3602;AIPIM C/BACON RESTAURANTE KG;3602-1;999;50;52,3;10;3;7,5;1,9;0;0;0,5;0;0;358,7
9216;AIPIM C/BACON ROT KG;9216-9;1;100;198;30;3,1;7,5;2,4;0;0;0;0;0;411
11109;AIPIM C/CARNE MOIDA ATM kg;11109-0;10;100;133,5;15,6;6,8;4,8;2,7;0;0;0,2;0;0;425,2
9513;AIPIM C/CARNE MOIDA OP kg;9513-3;3;100;133,5;15,7;6,8;4,8;2,7;0;0;0,2;0;0;425,2
11110;AIPIM C/CARNE MOIDA QUENTE KG;11110-4;1;100;133,5;15,7;6,8;4,8;2,7;0;0;0,2;0;0;425,2
9220;AIPIM C/CASCA FEIRINHA KG;9220-7;7;100;125;30,1;0,6;0,3;0,1;0;0;1,6;0;0;1
1419;AIPIM C/CASCA KG;1419-2;999;100;125;30,1;0,6;0,3;0,1;0;0;1,6;0;0;1
8033;AIPIM COM CARNE MOIDA RESF ROT;8033-0;3;50;62;7,8;1,6;2,7;1,3;0;8,4;0,4;0;0;22
52243;AIPIM COZIDO BISTEK KG;52243-0;999;150;152,3;37,5;0,4;0,3;0,1;0;0;2;0;0;1463
2728;AIPIM FRITO OP  kg;2728-6;1;100;215;0;27,3;10,9;6;0;107;0;7;2,4;456
3603;AIPIM FRITO RESTAURANTE KG;3603-0;999;85;197,4;27,5;0,5;9,4;1,4;0;0;1,4;0;0;715,9
600;ALCACHOFRA UNi;600-9;999;100;50;11,2;3,4;0;0;0;0;5,4;45;1,2;95
1609;ALCATRA  ASSADO A INGLESA;1609-8;999;100;219;0;21;14;6;0;0;0;0;0;65
6058;ALCATRA  ASSADO A INGLESA;6058-5;999;100;219;0;21;14;6;0;0;0;0;0;65
1633;ALCATRA  ASSADO BRASIL;1633-0;999;100;219;0;21;14;6;0;0;0;0;0;65
6080;ALCATRA  ASSADO BRASIL;6080-1;999;100;219;0;21;14;9;0;65;0;0;0;0
1147;ALCATRA  BIFE;1147-9;999;100;219;0;21;14;6;0;0;0;0;0;65
2536;ALCATRA  BIFE BABY;2536-4;999;100;219;0;21;14;6;0;0;0;0;0;65
1348;ALCATRA  COBERTURA;1348-0;999;100;219;0;21;14;6;0;0;0;0;0;65
1272;ALCATRA  CORACAO;1272-6;999;100;219;0;21;14;6;0;0;0;0;0;65
5981;ALCATRA  CORACAO;5981-1;999;100;219;0;21;14;6;0;0;0;0;0;65
1615;ALCATRA  COZIDO ESPECIAL;1615-2;999;100;219;0;21;14;6;0;0;0;0;0;65
6082;ALCATRA  COZIDO ESPECIAL;6082-8;999;100;219;0;21;14;9;0;0;0;0;0;65
2066;ALCATRA  ESCALOPE;2066-4;999;100;219;0;21;14;6;0;0;0;0;0;65
6083;ALCATRA  ESCALOPE;6083-6;999;100;219;0;21;14;9;0;0;0;0;0;65
1130;ALCATRA  ESPECIAL;1130-4;999;100;219;0;21;14;6;0;0;0;0;0;65
6059;ALCATRA  ESPECIAL;6059-3;999;100;219;0;21;14;6;0;0;0;0;0;65
439;ALCATRA  INDIVIDUAL;439-1;999;100;219;0;21;14;6;0;0;0;0;0;65
5982;ALCATRA  INDIVIDUAL;5982-0;999;100;219;0;21;14;6;0;0;0;0;0;65
1978;ALCATRA  ISCA;1978-0;999;100;219;0;21;14;6;0;0;0;0;0;65
6084;ALCATRA  ISCA;6084-4;999;100;219;0;21;14;9;0;0;0;0;0;65
1644;ALCATRA  LIGHT LEVE;1644-6;999;100;219;0;21;14;6;0;0;0;0;0;65
6085;ALCATRA  LIGHT LEVE;6085-2;999;100;219;0;21;14;9;0;0;0;0;0;65
2061;ALCATRA  MEDALHAO;2061-3;999;100;219;0;21;14;6;0;0;0;0;0;65
6086;ALCATRA  MEDALHAO;6086-0;999;100;219;0;21;14;9;0;0;0;0;0;65
1303;ALCATRA  PARA GRELHA;1303-0;999;100;219;0;21;14;6;0;0;0;0;0;65
1260;ALCATRA  PICADO A BRASILEIRA;1260-2;999;100;219;0;21;14;6;0;0;0;0;0;65
6087;ALCATRA  PICADO A BRASILEIRA;6087-9;999;100;219;0;21;14;9;0;0;0;0;0;65
1774;ALCATRA  ROLHA;1774-4;999;100;219;0;21;14;6;0;0;0;0;0;65
2060;ALCATRA  STROGONOFF;2060-5;999;100;219;0;21;14;6;0;0;0;0;0;65
6088;ALCATRA  STROGONOFF;6088-7;999;100;219;0;21;14;9;0;0;0;0;0;65
6159;ALCATRA B;6159-0;999;100;219;0;21;14;6;0;0;0;0;0;65
2072;ALCATRA COM MAMINHA MELLORE kg;2072-9;30;100;150;0;20;11;6;0;0;0;0;0;65
1437;ALCATRA EMBALAGEM MACRO;1437-0;999;100;148;0;280;90;40;0;0;0;0;0;750
6161;ALCATRA FRIBOI;6161-1;999;100;219;0;21;14;6;0;0;0;0;0;65
2850;ALCATRA MACRO INDIVIDUAL;2850-9;999;100;219;0;21;14;6;0;0;0;0;0;65
5272;ALCATRA MOIDA KG;5272-8;999;100;160;0;22;5;2;0;0;0;0;0;60
7783;ALCATRA PARA GRELHA;7783-6;999;100;219;0;21;14;6;0;0;0;0;0;65
8195;ALCATRA PARMEGIANA RESF ROT KG;8195-7;3;50;270;30;20;7;3;0;70;1,5;0;0;450
6539;ALCATRA SALGADA (FRESCAL);6539-0;999;100;150;0;20;11;6;0;0;0;0;0;460,1
2186;ALCATRA SALGADO  CORACAO;2186-5;999;70;127;0,7;17;6,2;2,3;0;0;0;0;0;1111
6026;ALCATRA SALGADO  CORACAO;6026-7;999;100;139;1,1;18;6,7;2,5;0;0;0;0;0;978
3965;ALFACE AMERICANA 100g FEIRINHA;3965-9;10;0;26;4;3;0;0;0;0;1;14;0,3;30
4127;ALFACE AMERICANA 100g FEIRINHA;4127-0;10;100;26;4;3;0;0;0;0;1;14;0,3;30
819;ALFACE AMERICANA BD;819-2;7;100;0,9;0,1;0;0;0;0;0;0,1;0;0;0,7
6191;ALFACE AMERICANA G. MAQUINE BD;6191-3;999;100;9;1,7;0;0,1;0;0;0;1;14;0,3;0
3701;ALFACE AMERICANA ROTISSERIA kg;3701-0;998;100;220;0;17,5;16;7,3;0;54;0;3;1,5;1397
7898913555013;ALFACE AMERICANA UN;121043-2;999;100;9;1,7;0,6;0,1;0;0;0;1;14;0,3;0
9635;ALFACE HIDROPONICA BABY VERDES;9635-0;5;100;15;2;1;0;0;0;0;1;0;0;0
4034;ALFACE ROMANA UNI;4034-7;999;100;126;28;8;1;0;0;0;7;0;0;6
7442;ALFACE ROT KG;7442-0;5;50;4,5;0,8;0,3;0;0;0;0;0,5;7;0,1;3,5
1599;ALHO A GRANEL kg;1599-7;292;0;19,4;3,9;0,7;0;0;0;0;0,2;0;0;0
7184;ALHO FEIRINHA kg;7184-6;10;100;0,6;1,2;0,3;0;0;0;0;0,2;0;0;0,2
4120;ALHO PORO 100g FEIRINHA;4120-3;10;100;61;14,2;1,5;0;0;0;0;0;59;2,1;20
122;ALHO PORO UN;122-8;999;100;61;14,2;1,5;0;0;0;0;0;59;2,1;20
10814;ALHO POTE KG;10814-6;9;100;113,2;23,9;7;0;0;0;0;4,3;13,6;0,8;5,4
7258;ALMONDEGA BOVINA RESF ROT KG;7258-3;3;100;133;1;16;6,8;2,7;0;83,3;0,3;0;0;341
10348;ALMONDEGAS AO MOLHO RESF.KG;10348-9;1;100;133;1;16;6,8;2,7;0;0;0,3;0;0;341
11217;ALMONDEGAS BOVINA ATM  kg;11217-8;10;80;133;1;16;6,8;2,7;0;0;0,3;0;0;341
9869;ALMONDEGAS BOVINA OP kg;9869-8;4;80;133;1;16;6,8;2,7;0;0;0,3;0;0;341
11218;ALMONDEGAS BOVINA QUENTE KG;11218-6;1;100;133;1;16;6,8;2,7;0;0;0,3;0;0;341
7212;ALMONDEGAS BOVINA ROT.BISTEK K;7212-5;1;100;133;1;16;6,8;2,7;0;83,3;0,3;8,4;1,5;341
11678;ALMONDEGAS C/PURE DE BATATAS 3;11678-5;6;100;144;15;5,8;5,1;1,3;0,1;0;1,1;0;0;301
10464;ALMONDEGAS DE FRANGO OP KG;10464-7;1;100;142;9,7;20;2,7;1;0;0;0,7;0;0;569
7705;ALMONDEGAS DE FRANGO ROT KG;7705-4;1;100;142;9,7;20;2,7;1;0;0;0,7;0;0;569
11074;AMBROSIA BISTEK KG;11074-4;4;100;226;34;7,1;6,3;2,8;0;0;0;0;0;83
12687;AMBROSIA OP kg;12687-0;6;50;182;39;3,6;0,5;0,1;0;0;2,7;0;0;1
1652;AMEIXA C/CAROCO BISTEK kg;1652-7;998;100;139;63;2,3;0;0;9,3;0;0;0;0;0
49205;AMEIXA C/CAROCO BISTEK KG;49205-1;999;100;262;63;2,6;0;0;0;0;9,2;51;2,4;4
1657;AMEIXA FLV S/CAROCO BISTEK kg;1657-8;998;100;293;63;2,3;0;0;0;0;9,3;0;0;0
7894;AMEIXA FLV S/CAROCO BISTEK KG;7894-8;180;100;293;63;2,3;0;0;0;0;9,3;0;0;0
8783;AMEIXA IMPORTADA FEIRINHA kg;8783-1;10;100;54;13,5;0;0,6;0;0;0;1;0;0;0
2650;AMEIXA IMPORTADA kg;2650-6;999;100;55;13;0,7;0,6;0;0;0;0;4;0,1;0
1646;AMEIXA ROXA NACIONAL kg;1646-2;999;100;53;13,9;0,8;0;0;0;0;2,8;6;0,1;0
11875;AMEIXA S/CAROCO FRIOS kg;11875-3;180;100;293;63;2,3;0;0;0;0;9,3;0;0;0
7590;AMENDOA C/CASCA KG;7590-6;180;15;93;3;3;8;1;0;0;2;0;0;0
7897;AMENDOA DEFUMADA BISTEK KG;7897-2;180;28;171;5;6;16;1;0;0;3;0;0;96
2966;AMENDOA S/CASCA BISTEK kg;2966-1;998;15;86;2,4;3,9;7,4;0,6;0;0;1,6;0;0;5
7896;AMENDOA S/CASCA BISTEK KG;7896-4;180;15;86;2,4;3,9;7,4;0,6;0;0;1,6;0;0;5
5221;AMENDOA TORRADA E SALGADA BIST;5221-3;998;15;86;2,4;3,9;7,4;0,6;0;0;1,6;0;0;0
5111;AMENDOIM  NATURAL KG;5111-0;999;20;100;9;4;5;3;0;0;1;0;0;180
12438;AMENDOIM DOCE IND kg;12438-9;20;15;100;9;3;5,6;1;0;0;1;0;0;1,1
6302;AMENDOIM DOCE kg;6302-9;20;15;100;9;3;5,6;1;0;0;1;0;0;1
6006;AMENDOIM SALGADO BISTEK;6006-2;999;50;273;7,6;11;22;4;0;0;3,6;0;0;175
6005;AMENDOIM SALGADO BISTEK kg;6005-4;60;15;76;2,5;3;5,6;1;0;0;1;0;0;380
7119;AMENDOIM SALGADO D.MESTRE KG;7119-6;30;50;273;7,6;11;22;4;0;0;3,6;0;0;175
12439;AMENDOIM SALGADO IND kg;12439-7;60;15;76;2,5;3,3;5,6;1;0;0;1;0;0;350
7595;AMENDOIM TORRADO C/CASCA EMB K;7595-7;30;100;605,8;18,7;9,7;0;0;0;0;7,8;0;1,3;0
5052;AMENDOIM TORRADO C/CASCA KG;5052-0;30;100;6,1;0,1;0,2;0,5;0;0;0;0;0;0;0
3948;AMENDOTONE BISTEK 600G;3948-9;30;50;211;21,1;5,9;12,3;4,2;0;10,6;1;0;0;80
11287;AMOR PERFEITO MINNAS ORIGENS k;11287-9;10;30;330;60;1;10;2;3;0;0;0;0;143
7898961043067;AMORA 100 G BD;584-3;7;100;59,2;12,2;1,7;0,4;0;0;0;0;0;0,8;0
8774;ANCHOVA FRESCA KG;8774-2;4;100;69,3;0,3;16,8;0;0;0;0;0;0;0;0
10465;ANCHOVA FRITA OP KG;10465-5;1;100;226;28;35;7;1,6;0;0;1,2;0;0;1166
7551;ANCHOVA FRITA ROT KG;7551-5;1;100;226,3;28,4;34,6;7;1,6;0;105;1,2;0;0;1166,2
8102;ANTEPASTO DE ABOBRINHA ROT KG;8102-7;999;50;168;1,2;0,4;18;0;0;0;0,8;0;0;177
8101;ANTEPASTO DE BERINJELA ROT KG;8101-9;999;50;189;2,9;0,5;17;0;0;0;1,2;0;0;177
9133;APRESUNTADO LANCHE (EM FATIAS);9133-2;40;40;125;26;6;0,8;0,3;0;0;0;0;0;89
8370;APRESUNTADO NACO FATIAS;8370-4;40;30;27;0;4,6;0,7;0;0;0;0;0;0;259
51165;APRESUNTADO SADIA FATIAS;51165-0;999;30;36;0,8;3,9;1,9;1,5;0;0;0;0;0;252
1551;APRESUNTADO SADIA RALADO;1551-2;999;30;36;0,8;3,8;1,9;1,5;0;0;0;0;0;252
1986;APRESUNTADO SEARA FATIAS KG;1986-0;40;40;39;1,1;5,4;1,4;0,4;0;0;0;0;0;408
51166;APRESUNTADO SEARA RALADO;51166-8;999;30;32;1,6;2,7;1,4;0,8;0;0;0;0;0;390
7696;ARROZ A BOIADEIRO RESF ROT KG;7696-1;3;100;85;7,8;4,2;4,2;0;0;0;0,8;0;0;415
52244;ARROZ A GREGA BISTEK KG;52244-9;999;50;43,6;9,8;1;2,7;0,3;0;0;1;0;0;260
11481;ARROZ A GREGA BISTEK REFEITORI;11481-2;6;100;153;29;3,5;1,6;0,2;0;0;2,4;0;0;594
8031;ARROZ A JARDINEIRA RESF ROT KG;8031-4;3;100;54;9,7;1,4;0,9;0,1;0;0;1;0;0;336
3609;ARROZ A JARDINEIRA RESTAURANTE;3609-9;999;50;37,2;32,3;3,6;1,8;0,2;0;0;3,5;0;0;935,5
3610;ARROZ A MODA CHINES RESTAURANT;3610-2;999;50;44,9;4,2;2,8;1,8;0,4;0;0;0;0;0;377
10468;ARROZ A PARMEGIANA OP kg;10468-0;1;100;275;39;12;7,9;3,7;0;0;3;0;0;445
9083;ARROZ A PARMEGIANA ROT KG;9083-2;1;100;275;39;12;7,9;3,7;0;0;3;0;0;445
3611;ARROZ AO CREME DE ATUM RESTAUR;3611-0;999;50;180,8;5,1;130,2;3,9;3,7;0;0;0,2;0;0;221,4
52245;ARROZ AO FORNO BISTEK KG;52245-7;999;50;63,4;4,9;10,9;3,5;1,7;0;0;0,6;0;0;223,7
11111;ARROZ BOIADEIRO ATM kg;11111-2;10;100;112,5;11;6,8;5,4;1,3;0;0;1,5;0;0;600
9485;ARROZ BOIADEIRO OP kg;9485-4;4;100;112,5;11;6,8;5,4;1,3;0;0;1,5;0;0;560,7
11116;ARROZ BOIADEIRO QUENTE KG;11116-3;1;100;112,5;11;6,8;5,4;1,3;0;0;1,5;0;0;560,7
3615;ARROZ BOIADEIRO ROT KG;3615-3;1;100;85;7,8;4,2;4,2;0;0;0;0,8;0;0;415
7259;ARROZ C/ CALABRESA E OVOS ROT.;7259-1;1;100;206;17,4;6,5;12;1,2;0;34,4;0,8;9,2;0,3;402
11401;ARROZ C/CALABRESA E OVOS ATM k;11401-4;6;100;206;17;7;12;6;0;0;1;0;0;600
10337;ARROZ C/CALABRESA E OVOS RESF.;10337-3;1;100;206;17;6,5;12;1,2;0;0;0,8;0;0;402
9475;ARROZ C/CALABRESA/OVOS OP kg;9475-7;4;100;206;17;6,5;12;6;0;0;0,8;0;0;600
3613;ARROZ C/ESPINAFRE RESTAURANTE;3613-7;999;50;48,3;6,9;1,5;6,8;2,4;0;0;0,6;0;0;257,9
3614;ARROZ C/LINGUICA RESTAURANTE K;3614-5;999;50;54;3,8;2,4;3,2;0,6;0;0;0,3;0;0;215,5
8063;ARROZ COM CALABRESA E OVOS RES;8063-2;3;100;206;17,4;6,5;12;1,2;0;34,4;0,8;0;0;402
11114;ARROZ COZIDO ATM kg;11114-7;10;100;85,1;16,9;1,5;1;0,1;0;0;1;0;0;388,2
9476;ARROZ COZIDO OP kg;9476-5;4;100;85,1;16,9;15;1;0,1;0;0;1;0;0;388,2
11115;ARROZ COZIDO QUENTE  KG;11115-5;1;100;85,1;16,9;1,5;1;0,1;0;0;1;0;0;388,2
7254;ARROZ COZIDO ROT.BISTEK KG;7254-0;1;100;56,1;11,4;1;0,5;0,1;0;0;1;1,3;0;130
10526;ARROZ CROCANTE OP KG;10526-0;1;100;116;11;1,5;4,9;0;0;0;0,9;0;0;40
8064;ARROZ CROCANTE RESF ROT KG;8064-0;3;100;116;11;1,5;4,9;0;0;0;0,9;0;0;0
7703;ARROZ CROCANTE ROT KG;7703-8;1;100;116;11;1,5;4,9;0;0;1,8;0,9;0;0;0
13243;ARROZ DE FORNO OP kg;13243-8;4;100;169;16;10;5,4;2,5;0;0;1,6;0;0;415
13244;ARROZ DE PORCO OP kg;13244-6;4;100;132;14;4,3;5,1;1,4;0;0;2,1;0;0;282
12819;ARROZ DOCE OP kg;12819-8;6;60;100;20;1,5;1,7;0,8;0;0;0;0;0;22
3616;ARROZ DOCE RESTAURANTE KG;3616-1;999;50;78,8;33,3;4,3;4,9;2,5;0;0;1,4;0;0;44,5
3617;ARROZ INTEGRAL A GREGA RESTAUR;3617-0;999;50;61;13,7;1,5;0,9;0;0;0;1,2;0;0;192,3
11112;ARROZ INTEGRAL ATM kg;11112-0;10;100;55,3;9,5;1;1,3;0,3;0;0;1;0;0;388,2
9474;ARROZ INTEGRAL COZIDO OP kg;9474-9;4;100;55,3;9,5;1;1,3;0,3;0;0;1;0;0;388,2
7225;ARROZ INTEGRAL COZIDO ROT.BIST;7225-7;1;100;101;20,2;1,8;1,5;0,3;0;0;1,6;0;0;224,7
11113;ARROZ INTEGRAL QUENTE KG;11113-9;1;100;55,3;9,5;1;1,3;0,3;0;0;1;0;0;388,2
8060;ARROZ INTEGRAL RESF ROT KG;8060-8;3;100;101;20,2;1,8;1,5;0,3;0;0;0;0;0;224,7
10527;ARROZ INTEGRAL TEMPERADO OP KG;10527-9;1;100;109;17;2,4;3,8;1,8;0;0;3,8;0;0;472
8061;ARROZ INTEGRAL TEMPERADO RESF;8061-6;3;100;109;16,9;2,4;3,8;1,8;0;0;3,8;0;0;472
7518;ARROZ INTEGRAL TEMPERADO ROT.;7518-3;1;100;109;16,9;2,4;3,8;1,8;0;0;3,8;0;0;472
9486;ARROZ JARDINEIRA OP kg;9486-2;4;100;54;9;1,4;0,9;0,1;0;0;1;0;0;336
7697;ARROZ JARDINEIRA ROT KG;7697-0;1;100;54;9,7;1,4;0,9;0,1;0;0;1;0;0;336
11662;ARROZ MULTICEREAIS OP kg;11662-9;6;50;61;11;1,4;0,7;0,1;0;0;1;0;0;47
