EAN-13,Descricao,Cod.Prod
12489,RECEITA CREME LEITE IND kg,12489-3
9443,RECEITA CREME NATA IND KG,9443-9
13147,RECEITA CREME RECHEIO GOIABADA IND KG,13147-4
11429,RECEITA CROCANTE DE CASTANHA IND kg,11429-4
49463,RECEITA CROCANTE NOZES IND kg,49463-1
13904,RECEITA DOCINHO BRIGADEIRO kg,13904-1
13905,RECEITA DOCINHO PRESTIGIO kg,13905-0
12457,RECEITA FIO DE OVOS CONG.ND kg,12457-5
11922,RECEITA GLACE IND KG,11922-9
12469,RECEITA MARSHMALLOW IND KG,12469-9
53809,RECEITA MASSA BASICA IND KG,53809-4
53807,RECEITA MASSA BEIJINHO IND KG,53807-8
53808,RECEITA MASSA BRIGADEIRO IND KG,53808-6
52482,RECEITA MASSA FLORA SALG.IND KG,52482-4
12492,RECEITA MASSA ROCAMBOLE IND kg,12492-3
13840,RECEITA MERENGUE IND KG,13840-1
12098,RECEITA MOUSSE LIMAO IND KG,12098-7
13963,RECEITA MOUSSE SUFLAIR BRANCO kg,13963-7
49433,RECEITA RECHEIO AMENDOIM IND KG,49433-0
13897,RECEITA RECHEIO AMENDOIM kg,13897-5
13893,RECEITA RECHEIO BASE TORTA ALEMA kg,13893-2
13892,RECEITA RECHEIO BASE TORTA ALEMA 2kg,13892-4
2733,RECEITA RECHEIO BRIGADEIRO IND KG,2733-2
13898,RECEITA RECHEIO BRIGADEIRO kg,13898-3
13899,RECEITA RECHEIO CREME DE LEITE kg,13899-1
22308,RECEITA RECHEIO DE AMEIXA IND KG,22308-5
12539,RECEITA RECHEIO DE FRANGO IND kg,12539-3
12491,RECEITA RECHEIO NATA IND kg,12491-5
41371,RECEITA RECHEIO NOZES IND KG,41371-2
13901,RECEITA RECHEIO NOZES kg,13901-7
13045,RECEITA RECHEIO OREO KG,13045-1
13305,RECEITA RECHEIO OURO BRANCO IND kg,13305-1
15026,RECEITA RECHEIO PALMITO IND KG,15026-6
13903,RECEITA RECHEIO QUATRO LEITES kg,13903-3
13304,RECEITA RECHEIO SONHO VALSA IND kg,13304-3
21914,RECEITA RECHEIO TORTA ALEMA IND KG,21914-2
49469,RECEITA RECHEIO TORTA PREST.IND KG,49469-0
6819,RECEITA RECHEIO TRUFADO AO LEITE IND KG,6819-5
13894,RECEITA RECHEIO TRUFADO AO LEITE kg,13894-0
6821,RECEITA RECHEIO TRUFADO BRANCO IND KG,6821-7
13895,RECEITA RECHEIO TRUFADO CHOC.BRANCO kg,13895-9
12490,RECEITA ROCAMBOLE CHOCOLATE IND kg,12490-7
13884,RECEITA TRUFA AMENDOA OVO kg,13884-3
13883,RECEITA TRUFA OREO OVO kg,13883-5
13882,RECEITA TRUFA PISTACHE OVO kg,13882-7
12817,RECHEIO DAMASCO IND KG,12817-1
8792,RECHEIO MOUSSE SUFLAIR KG,8792-0
11430,RECHEIO QUATRO LEITES IND KG,11430-8
12765,RECHEIO TORTA CAFE IND KG,12765-5
7898299383187,RING NEVASCA F.VERMELHAS 75g CONG. UN,230760-0
13544,RING NEVASCA F.VERMELHAS 75g UND,13544-5
7898122673386,RING RECHEADO BLUEBERRY 75g UN,223957-4
12734,RING RECHEADO BLUEBERRY 75g UN,12734-5
7898122673904,RING RECHEADO BRIGADEIRO 75g UN,223956-6
12735,RING RECHEADO BRIGADEIRO 75g UN,12735-3
7898299383149,RING RECHEADO C/ BAUNILHA 75g CONG. UN,230761-8
13549,RING RECHEADO C/BAUNILHA 75g UND,13549-6
7898299383170,RING RECHEADO CHOC.AO LEITE 75g CONG. UN,230763-4
13547,RING RECHEADO CHOC.AO LEITE 75g UND,13547-0
7898299383163,RING RECHEADO CHOC.BRANCO 75g CONG. UN,230762-6
13548,RING RECHEADO CHOC.BRANCO 75g UND,13548-8
7898122672877,RING RECHEADO CHOCOLATE 75g UN,223960-4
12733,RING RECHEADO CHOCOLATE 75g UN,12733-7
7898299383156,RING RECHEADO COOK. C/ BAUN. 75g CONG.UN,230765-0
13546,RING RECHEADO COOKIES C/BAUNILHA 75g UND,13546-1
7898122672860,RING RECHEADO COOKIES CREAM 75g UN,223959-0
12732,RING RECHEADO COOKIES CREAM 75g UN,12732-9
12731,RING RECHEADO CREAME MORANGO 75g UN,12731-0
7898122677179,RING RECHEADO CREME MORANGO 75g UN,223955-8
7898122672853,RING RECHEADO CROCANTE DOCE LEITE 75g UN,223958-2
12730,RING RECHEADO CROCANTE DOCE LEITE 75g UN,12730-2
7898299383132,RING RECHEADO DOCE DE LEITE 75g CONG. UN,230764-2
13545,RING RECHEADO DOCE LEITE 75g UND,13545-3
12729,RING RECHEADO FRUTAS VERMELHAS 75g UN,12729-9
7898122672914,RING RECHEADO FRUTAS VERMELHAS 75g UN,223954-0
11740,RISOLES CARNE COQUETEL BISTEK kg,11740-4
12953,RISOLES DE CARNE HP UN,12953-4
11708,RISOLES FRANGO BISTEK UN,11708-0
11739,RISOLES FRANGO COQUETEL BISTEK kg,11739-0
12886,RISOLES FRANGO HP UN,12886-4
13728,RISOLES MARIA COXINHA 130g CARNE,13728-6
13729,RISOLES MARIA COXINHA 130g FRANGO,13729-4
11709,RISOLES PRESUNTO/QUEIJO BISTEK UN,11709-9
1642,ROCAMBOLE AMENDOIM BISTEK kg,1642-0
12495,ROCAMBOLE AMENDOIM IND kg,12495-8
12496,ROCAMBOLE DOCE DE LEITE BISTEK IND kg,12496-6
6223,ROCAMBOLE DOCE DE LEITE BISTEK kg,6223-5
13286,ROCAMBOLE GOIABADA 250g UND,13286-1
12494,ROCAMBOLE MORANGO BISTEK IND kg,12494-0
1915,ROCAMBOLE MORANGO BISTEK kg,1915-1
2575,ROCAMBOLE PRESTIGIO BISTEK kg,2575-5
12493,ROCAMBOLE PRESTIGIO IND kg,12493-1
12894,SALGADINHO COQUETEL HIPERPAN kg,12894-5
13716,SALGADINHO COQUETEL MARIA COXINHA kg,13716-2
5067,SALGADO COQUETEL BISTEK kg,5067-9
1501,SALGADO JD UND,1501-6
11706,SALSICHA EMPANADA BISTEK UN,11706-4
11732,SALSICHA EMPANADA COQUETEL BISTEK kg,11732-3
12945,SALSICHA EMPANADA HP UN,12945-3
13730,SALSICHA MARIA COXINHA 120g,13730-8
3000030800561,SANDUICHE ATUM ATM 150g,308005-6
12960,SANDUICHE ATUM ATM 150g,12960-7
970,SANDUICHE ATUM BISTEK kg,970-9
9277,SANDUICHE ATUM BISTEK kg,9277-0
9542,SANDUICHE AUSTRALIANO OP kg,9542-7
12610,SANDUICHE CIABATTA BOLOGNA BISTEK kg,12610-1
12608,SANDUICHE CIABATTA LOMBINHO BISTEK kg,12608-0
12606,SANDUICHE CIABATTA PRES/QUEIJO BISTEK kg,12606-3
12605,SANDUICHE CIABATTA SALAME ITAL.BISTEK kg,12605-5
12977,SANDUICHE DE FRANGO 150g,12977-1
3000030800646,SANDUICHE DE FRANGO 150g,308006-4
9554,SANDUICHE FGO C/MUSSARELA BUFULA OP kg,9554-0
163,SANDUICHE FRANGO BISTEK kg,163-5
9278,SANDUICHE FRANGO BISTEK kg,9278-9
13796,SANDUICHE FRANGO 150g,13796-0
3000030800721,SANDUICHE INTEGRAL ATM 150g,308007-2
13795,SANDUICHE INTEGRAL ATM 150g,13795-2
12961,SANDUICHE INTEGRAL ATM 150g,12961-5
9279,SANDUICHE INTEGRAL BISTEK kg,9279-7
6237,SANDUICHE INTEGRAL PRES/QUEIJO BISTEK kg,6237-5
9555,SANDUICHE LOMBINHO CANADENSE OP kg,9555-9
11439,SANDUICHE LOMBO CANADENSE ATM kg,11439-1
9076,SANDUICHE MINI FRANCES BISTEK kg,9076-0
9069,SANDUICHE MINI HAMBURGUER BISTEK kg,9069-7
3000030800806,SANDUICHE OVO ATM 150g,308008-0
12963,SANDUICHE OVO ATM 150g,12963-1
13794,SANDUICHE OVO ATM 150g,13794-4
10512,SANDUICHE PALMITO OP kg,10512-0
8090,SANDUICHE PAO FRANCES BISTEK kg,8090-0
14844,SANDUICHE QUEIJO E OVOS BISTEK kg,14844-0
9280,SANDUICHE QUEIJO OVO BISTEK kg,9280-0
10513,SANDUICHE TOFU OP kg,10513-9
3000030292984,SEQUINHOS CROCANTE 160g,302929-8
49986,SOBREMESA CHANTILLY BISTEK kg,49986-2
12461,SOBREMESA CHANTILLY IND kg,12461-3
12458,SOBREMESA FIO DE OVOS IND kg,12458-3
6101,SOBREMESA FIO OVOS BISTEK kg,6101-8
6211,SOBREMESA PUDIM LEITE CONDENSADO BISTEK,6211-1
12459,SOBREMESA PUDIM LEITE CONDENSADO IND kg,12459-1
11951,SONHO C/CREME BAUNILHA kg,11951-2
12014,SONHO CHOCOLATE kg,12014-6
12015,SONHO DOCE DE LEITE kg,12015-4
3000030292632,SONHO DONUTS COM CHOC 130g,302926-3
12016,SONHO GOIABADA kg,12016-2
10918,SONHO GOURMET BISTEK kg,10918-5
11390,SONHO GOURMET BISTEK UND,11390-5
12017,SONHO QUATRO LEITES kg,12017-0
12018,SONHO S/RECHEIO PURAPAN kg,12018-9
10123,SUSPIRO TRADICIONAL BISTEK kg,10123-0
7897867101758,TABLETE AMENDOIM C/CHOCOLATE BISTEK 100g,224113-7
13427,TIRAMISU CONGELADA 500g UND,13427-9
13463,TIRAMISU 500g IND,13463-5
1904,TORRADO BISTEK kg,1904-6
9662,TORTA ALEMA BISTEK kg,9662-8
29,TORTA ALEMA BISTEK kg,29-9
7520,TORTA ALEMA CG BISTEK kg,7520-5
4191,TORTA ALPINO CONGELADA kg,4191-2
13930,TORTA ALPINO 1,2kg BISTEK,13930-0
13929,TORTA ALPINO 1.2kg CONG.BISTEK,13929-7
9660,TORTA AMEIXA BISTEK kg,9660-1
40629,TORTA AMEIXA BISTEK kg,40629-5
4192,TORTA AMEIXA CONGELADA kg,4192-0
1495,TORTA AMENDOIM BISTEK kg,1495-8
9673,TORTA AMENDOIM BISTEK kg,9673-3
4193,TORTA AMENDOIM CG kg,4193-9
18427,TORTA BOMBONELA BRANCA BISTEK kg,18427-6
12545,TORTA BOMBONELA BRANCA IND kg,12545-8
13933,TORTA BOMBONELA BRANCA 1.2kg BISTEK,13933-5
18406,TORTA BOMBONELA PRETA BISTEK kg,18406-3
12542,TORTA BOMBONELA PRETA IND kg,12542-3
13936,TORTA BOMBONELA PRETA 1.2kg BISTEK,13936-0
1846,TORTA BRIGADEIRO BISTEK kg,1846-5
9674,TORTA BRIGADEIRO BISTEK kg,9674-1
7522,TORTA BRIGADEIRO CONGELADA BISTEK kg,7522-1
13939,TORTA BRIGADEIRO 1,2kg BISTEK,13939-4
13938,TORTA BRIGADEIRO 1.2kg CONG.BISTEK,13938-6
11407,TORTA CAFE C/DAMASCO BISTEK kg,11407-3
11406,TORTA CAFE C/DAMASCO CONGELADA BISTEK kg,11406-5
4194,TORTA CHARGE CONGELADA kg,4194-7
13941,TORTA CHARGE 1,2kg BISTEK,13941-6
13940,TORTA CHARGE 1.2kg CONG.BISTEK,13940-8
49083,TORTA CHOCOCREM LIMAO BISTEK kg,49083-0
12499,TORTA CHOCOCREM LIMAO IND kg,12499-0
49082,TORTA CHOCOCREM MARACUJA BISTEK kg,49082-2
12498,TORTA CHOCOCREM MARACUJA IND kg,12498-2
13415,TORTA DE LIMAO CONGELADA 600g UND,13415-5
13461,TORTA DE LIMAO 600g IND,13461-9
10991,TORTA DIAMANTE NEGRO BISTEK kg,10991-6
10990,TORTA DIAMANTE NEGRO CONGELADA BISTEK kg,10990-8
49509,TORTA DOIS AMORES BISTEK kg,49509-3
9663,TORTA DOIS AMORES BISTEK kg,9663-6
7523,TORTA DOIS AMORES CG BISTEK kg,7523-0
13944,TORTA DOIS AMORES 1,2kg BISTEK,13944-0
13942,TORTA DOIS AMORES 1.2kg CONG.BISTEK,13942-4
3186,TORTA DUE BISTEK kg,3186-0
9664,TORTA DUE BISTEK kg,9664-4
7524,TORTA DUE CONGELADA BISTEK kg,7524-8
12540,TORTA FRIA IND kg,12540-7
13414,TORTA GELADA FERREIRO CONGELADA 600g UND,13414-7
13459,TORTA GELADA FERREIRO 600g IND,13459-7
10988,TORTA LAKA BISTEK kg,10988-6
10987,TORTA LAKA CONGELADA BISTEK kg,10987-8
9676,TORTA MARTA ROCHA NOZES BISTEK kg,9676-8
6291,TORTA MARTA ROCHA NOZES BISTEK kg,6291-0
7532,TORTA MARTA ROCHA NOZES CONGELADA BISTEK,7532-9
13946,TORTA MARTA ROCHA 1,2kg BISTEK,13946-7
13945,TORTA MARTA ROCHA 1.2kg CONG.BISTEK,13945-9
7533,TORTA MESCLADA CONGELADA BISTEK kg,7533-7
9665,TORTA MESCLADA BISTEK kg,9665-2
19,TORTA MESCLADA BISTEK kg,19-1
9666,TORTA MINEIRA BISTEK kg,9666-0
1900,TORTA MINEIRA BISTEK kg,1900-3
4197,TORTA MINEIRA CONGELADA kg,4197-1
13948,TORTA MINEIRA 1,2kg BISTEK,13948-3
13947,TORTA MINEIRA 1.2kg CONG.BISTEK,13947-5
6273,TORTA MORANGO BISTEK kg,6273-1
12544,TORTA MORANGO IND kg,12544-0
13927,TORTA MORANGO 1.2kg BISTEK,13927-0
8803,TORTA NESTLE ALPINO kg,8803-0
9672,TORTA NESTLE ALPINO kg,9672-5
9675,TORTA NESTLE CHARGE kg,9675-0
8799,TORTA NESTLE CHARGE kg,8799-8
9678,TORTA NESTLE NINHO kg,9678-4
8800,TORTA NESTLE NINHO kg,8800-5
9682,TORTA NESTLE SENSACAO kg,9682-2
8801,TORTA NESTLE SENSACAO kg,8801-3
9671,TORTA NESTLE SUFLAIR kg,9671-7
8802,TORTA NESTLE SUFLAIR kg,8802-1
4198,TORTA NINHO CONGELADA kg,4198-0
13964,TORTA NINHO 1.2kg CONG.BISTEK,13964-5
13969,TORTA NINHO 1,200 BISTEK,13969-6
10994,TORTA OREO BISTEK kg,10994-0
10993,TORTA OREO CONGELADA BISTEK kg,10993-2
49488,TORTA OURO BRANCO BISTEK kg,49488-7
9667,TORTA OURO BRANCO BISTEK kg,9667-9
7535,TORTA OURO BRANCO CONGELADA BISTEK kg,7535-3
13950,TORTA OURO BRANCO 1,2kg BISTEK,13950-5
13949,TORTA OURO BRANCO 1.2kg CONG.BISTEK,13949-1
9679,TORTA PESSEGO BISTEK kg,9679-2
410,TORTA PESSEGO BISTEK kg,410-3
4199,TORTA PESSEGO CONGELADA kg,4199-8
13957,TORTA PISTACHE 700g BISTEK,13957-2
13956,TORTA PISTACHE 700g CONG.BISTEK,13956-4
49470,TORTA PRESTIGIO BCA BISTEK kg,49470-4
7537,TORTA PRESTIGIO BCA CONGELADA BISTEK kg,7537-0
9680,TORTA PRESTIGIO BRANCA BISTEK kg,9680-6
13954,TORTA PRESTIGIO BRANCA 1,2kg BISTEK,13954-8
13953,TORTA PRESTIGIO BRANCA 1.2kg CONG.BISTEK,13953-0
7538,TORTA PRESTIGIO PRETA CONGELADA BISTEK,7538-8
6278,TORTA PRESTIGIO PRETA BISTEK kg,6278-2
9681,TORTA PRESTIGIO PRETA BISTEK kg,9681-4
13952,TORTA PRESTIGIO PRETA 1,2kg BISTEK,13952-1
13951,TORTA PRESTIGIO PRETA 1.2kg CONG.BISTEK,13951-3
13958,TORTA QUATRO LEITES 1,2kg BISTEK,13958-0
13955,TORTA QUATRO LEITES 1.2kg CONG.BISTEK,13955-6
11432,TORTA QUATRO LEITES 1,3Kg BISTEK UN,11432-4
11431,TORTA QUATRO LEITES 1,3Kg CONG.BISTEK UN,11431-6
49532,TORTA SENSACAO BISTEK kg,49532-8
4201,TORTA SENSACAO CONGELADA kg,4201-3
10575,TORTA SO BOLOS 540g BANOFF BANANA,10575-9
7898951690110,TORTA SO BOLOS 540g BANOFFE BANANA,201492-0
7898951690073,TORTA SO BOLOS 540g CHESECAKE,208073-7
7898951690059,TORTA SO BOLOS 540g MORANGOFFE,208072-9
49506,TORTA SONHO DE VALSA BISTEK kg,49506-9
7541,TORTA SONHO DE VALSA CONGELADO BISTEK kg,7541-8
13962,TORTA SONHO DE VALSA 1,2kg BISTEK,13962-9
13960,TORTA SONHO DE VALSA 1.2kg CONG.BISTEK,13960-2
9668,TORTA SONHO VALSA BISTEK kg,9668-7
9669,TORTA SUBLIME BISTEK kg,9669-5
3187,TORTA SUBLIME BISTEK kg,3187-9
4202,TORTA SUBLIME CONGELADA kg,4202-1
4203,TORTA SUFLAIR CONGELADA kg,4203-0
12141,TORTELETE COCO CONGELADA 100g,12141-0
12148,TORTELETE COCO 100g,12148-7
12139,TORTELETE LIMAO CONGELADA 100g,12139-8
12140,TORTELETE LIMAO REDONDA CONGELADA 100g,12140-1
12144,TORTELETE LIMAO REDONDA 100g,12144-4
12145,TORTELETE LIMAO 100g,12145-2
12147,TORTELETE MORANGO 90g,12147-9
12138,TORTELETE NOZES CONGELADA 100g,12138-0
12146,TORTELETE NOZES 100g,12146-0
12150,TORTELETE TRUFADA CHOCOLATE 100g,12150-9
12142,TORTELETE TRUFADA CONGELADA 100g,12142-8
12149,TORTELETE TRUFADA 90g,12149-5
12143,TORTELETE TRUF.CHOCOLATE CONGELADA 100g,12143-6
8633,X SALADA 250g BISTEK UND,8633-9
7896080001401,CONHAQUE DOMECQ 1l,98696-8
7896010006360,CONHAQUE DREHER 900ml,98698-4
7896023080487,CONHAQUE PRESIDENTE 900ml,98695-0
7896023013157,CONHAQUE PRESIDENTE 900ml MEL,218788-4
7896022610005,CONHAQUE SAO JOAO DA BARRA 900ml,98694-1
7896348205237,ALCAPARRAS JUREIA 200g,228701-3
7891089436872,ALCAPARRAS LA VIOLETERA 60g,220019-8
7896272005804,ASPARGO BRANCO VALE FERTIL 205g,195056-8
7891089454869,ASPARGO VERDE LA VIOLETERA 190g VD,231360-0
7897517209445,BATATA FUGINI 170g SACHE,222127-6
7896270300949,BETERRABA ZILSE 400g,179766-2
7898063398034,BETERRABA ZIZO 300g,192571-7
7891089070106,CEBOLINHA CRISTAL LA VIOLETERA 200g,220021-0
7896348207002,CEBOLINHA JUREIA 300g VINHO TINTO,233034-2
7896270300109,CEBOLINHA ZILSE 330g,102777-8
7898063398027,CEBOLINHA ZIZO 300g,192572-5
7896270300826,CHUCRUTE ZILSE 400g,102615-1
7898000050063,COGUMELO CHAMPIGNON AICA 100g FAT.SACHE,157573-2
7898000050124,COGUMELO CHAMPIGNON AICA 100g INT.SACHE,102625-9
7898000050346,COGUMELO CHAMPIGNON AICA 80g VIN.MC.FAT.,214632-0
7898000050339,COGUMELO CHAMPIGNON AICA 80g VIN.MC.INT.,214634-7
7898426161541,COGUMELO CHAMPIGNON REFINATTO 100g FAT.,192573-3
7898426161558,COGUMELO CHAMPIGNON REFINATTO 100g INT.,134715-2
7896579980057,COGUMELO CHAMPIGNON UNIAGRO 80g FAT.SAC,160603-4
7896579980040,COGUMELO CHAMPIGNON UNIAGRO 80g INT.SAC,160604-2
7891089048167,CORACAO ALCACHOFRA LA VIOLETERA 245g,220020-1
7898152996073,CORACAO DE ALCACHOFRA PAGANINI 240g,232059-2
7897517209643,DUETO FUGINI 170g SACHE,205673-9
7896041160109,DUETO ODERICH 200g,102861-8
7896292348073,DUETO PREDILECTA 170g LATA,147719-6
7899659900792,ERVILHA BONARE 170g LATA,210108-4
7897517209650,ERVILHA FUGINI 170g SACHE,205672-0
7896041154016,ERVILHA ODERICH 200g,102831-6
7896292340541,ERVILHA PREDILECTA 170g LATA,147718-8
7896102500493,ERVILHA QUERO 170g,102846-4
7896196078243,FUNGHI LA PASTINA 10g PORCINI SECCHI,234409-2
7896432610435,FUNGHI SECCHI CHELLI 30g,100657-6
7896579993170,FUNGHI SECCHI UNIAGRO 30g,100635-5
7898453469511,FUNGHI SECO BOMBAY 30g,233591-3
7896041154702,GRAO BICO ODERICH 220g,137991-7
7896102500820,GRAO BICO QUERO 170g,198737-2
7896041160123,JARDINEIRA ODERICH 200g 4LEGUMES,102868-5
7899659900785,MILHO BONARE 170g LATA,210109-2
7896292340503,MILHO PREDILECTA 170g,102878-2
3083681080803,MILHO VERDE BONDUELLE 170g TRADICIONAL,154950-2
3083681026122,MILHO VERDE BONDUELLE 200g SUAVE,170936-4
7897517209544,MILHO VERDE FUGINI 170g SACHE,205671-2
7896041156010,MILHO VERDE ODERICH 200g,102827-8
7896102500608,MILHO VERDE QUERO 170g,193142-3
7891089071110,MINI MILHO LA VIOLETERA 185g VD,173901-8
7896348207095,OVO CODORNA JUREIA 180g SACHE,218801-5
7896348206777,OVO CODORNA JUREIA 300g C/AZEITONA,218802-3
7896348205701,OVO CODORNA JUREIA 300g DEFUMADO,218803-1
7898289770089,OVOS CODORNA BOTTEGA 300g,192618-7
7898903177010,OVOS CODORNA DAOLI 300g,102702-6
7896348200560,OVOS CODORNA JUREIA 300g,203567-7
7898624416634,OVOS CODORNA ZIZO 300g,202057-2
7891031112304,PEPINO HEMMER 300g,102785-9
7891031112120,PEPINO HEMMER 440g RODELAS AGRIDOCE,192014-6
7896348200874,PEPINO JUREIA 300g,146316-0
7896348202977,PEPINO JUREIA 300g CONDIMENTO SUAVE,228700-5
7896348202960,PEPINO JUREIA 300g FATIADO PICANTE,233035-0
7896348212105,PEPINO JUREIA 300g RODELAS AGRIDOCE,219885-1
7891089070700,PEPINO LA VIOLETERA 180g CORNICHON,220018-0
7891031112403,PEPINO TAUA 300g VIDRO,102786-7
7896270300147,PEPINO ZILSE 300g,102774-3
7896270301182,PEPINO ZILSE 330g BURGUER FATIADO,231404-5
7898063398010,PEPINO ZIZO 300g,192570-9
7898270964459,PEQUI PONZAN 110g FATIADO,230133-4
7898063398065,PICLES ZIZO 300g,193697-2
7898000050179,PIMENTA AICA 80g BIQUINHO SACHET,231424-0
7898453466077,PIMENTA BIQUINHO BOMBAY 95g,233592-1
7896348205251,PIMENTA BIQUINHO JUREIA 200g VERMELHA,218800-7
7898270963780,PIMENTA CHEIRO PONZAN 30g VERMELHA,230130-0
7898270961793,PIMENTA MALAGUETA PONZAN 35g VERDE,230129-6
7898270961021,PIMENTA MALAGUETA PONZAN 35g VERMELHA,230131-8
7896196078250,PINOLI LA PASTINA 20g,234410-6
7899659900815,SELETA LEGUMES BONARE 170g C/MILHO,210119-0
7896041160017,SELETA LEGUMES ODERICH 200g,102836-7
7898000050353,TOMATE SECO AICA 100g SACHE,214452-2
7896714803227,TOMATE SECO NECTAR 100g,210188-2
7898426162074,TOMATE SECO REFINATTO 90g VD,134739-0
7898944946019,TOMATE SECO TOSCANA 100g,165380-6
7898944946026,TOMATE SECO TOSCANA 390g,165381-4
7896579993187,TOMATE SECO UNIAGRO 50g DESID.,176296-6
7898270968129,TREMOCO PONZAN 200g,230132-6
7896348202328,VAGEM JUREIA 300g,233036-9
8001060041790,ALCACHOFRA SACLA 205g SFIZIOLI,230638-7
8699073291044,ALCAPARRA MELIS 105g SALMOURA,225893-5
736532812995,ALCAPARRAS CONDESA 65g CAPOTES,215732-2
736532812971,ALCAPARRAS CONDESA 65g NONPAREILLES,215733-0
736532812988,ALCAPARROES CONDESA 110g CAPERBERRIES,215734-9
8699073291105,ALHO MELIS 105g CONSERVA,230774-0
618341550643,ASPARGO VERDE DOMA 100g,223968-0
8699073292768,BERINJELA MELIS 640g CONSERVA,230775-8
40804309,BETERRABA KUHNE 330g,229981-0
618341549500,CEBOLA KUHNE 330g,215202-9
8001060041783,CEBOLA SACLA 210g SFIZIOLI,230640-9
8000253001771,COGUMELO MARABOTTO 180g PORCINI INTEIRO,215811-6
8000253001764,COGUMELO MARABOTTO 290g PORCINI INTEIRO,215810-8
8001060041769,COGUMELO SACLA 205g SFIZIOLI,230639-5
618341550650,CORACAO ALCACHOFRA DOMA 200g,223974-4
618341549524,MILHO KUHNE 180g BABY,215205-3
40804644,PEPINO KUHNE 330g,215206-1
4012200401057,PEPINO KUHNE 330g FATIADO,222855-6
8682484901862,PEPINO MELIS 190g AGRIDOCE,230778-2
8699073290641,PEPINO MELIS 380g AGRIDOCE,225892-7
8699073290252,PIMENTA JALAPENO MELIS 150g VERDE,225891-9
8699073291525,PIMENTA JALAPENO MELIS 150g VERMELHA,225890-0
8699073290849,TOMATE SECO MELIS 190g OLEO,225899-4
10473,BISTECA NECK CORDEIRO CELEBRA CONG. kg,10473-6
7898738360106,CARNE OVINA CELEBRA 500g SALG/DEFUM.,231276-0
10474,CARRE CORDEIRO CELEBRA CONG.kg,10474-4
11240,CARRE CORDEIRO CELEBRA CURTO RESF.kg,11240-2
11591,CARRE CORDEIRO LA PARRILLA FRENCH CON.kg,11591-6
10475,CARRE FRANCES CORDEIRO CELEBRA CONG.kg,10475-2
13774,CARRE FRESCO CELEBRA 8 OSSOS RESF. kg,13774-0
12163,CORACAO CORDEIO CELEBRA kg CONG,12163-0
10035,COSTELA CORDEIRO CELEBRA CONG.kg,10035-8
10498,COSTELA CORDEIRO CELEBRA RESFRIADA kg,10498-1
12632,COSTELA CORDEIRO CELEBRA TIRAS CONG kg,12632-2
11242,COSTELA CORDEIRO CELEBRA TIRAS RESF.kg,11242-9
11598,COSTELA CORDEIRO LA PARRILLA CONG.kg,11598-3
10477,FILE CORDEIRO CELEBRA CONG.kg,10477-9
11243,FILE MIGNON CORDEIRO CELEBRA RESF.kg,11243-7
7898965348182,HAMBURGUER CORDEIRO CELEBRA 360g,205325-0
7898994810339,LINGUICA CELEBRA 500g COR/SUINO RESF.,211426-7
7898994810360,LINGUICA CORDEIRO GRILL 500g CONG.,205324-1
7898994810322,LINGUICA CORDEIRO PARRILLERA 400g CONG.,205323-3
7908041712360,LINGUICA CORDEIRO VPJ 200g,224404-7
7898994810315,LINGUICA CORDEIRO 400g GREL/PARRIL.RESF.,211424-0
10036,LOMBO CORDEIRO CELEBRA CONG.kg,10036-6
10039,PALETA CORDEIRO CELEBRA CONG.kg,10039-0
10499,PALETA CORDEIRO CELEBRA RESFRIADA kg,10499-0
10479,PERNIL CORDEIRO CELEBRA BOLINHA S/OSS.kg,10479-5
10040,PERNIL CORDEIRO CELEBRA CONG.kg,10040-4
11499,PERNIL CORDEIRO CELEBRA C/OSSO RESF.kg,11499-5
11238,PERNIL CORDEIRO CELEBRA FATIADO RESF.kg,11238-0
11593,PERNIL CORDEIRO LA PARRILLA CONG.kg,11593-2
10478,PERNIL FAT.CORDEIRO CELEBRA CONG.kg,10478-7
10480,PERNIL STINCO CORDEIRO CELEBRA CONG.kg,10480-9
10037,PICANHA CORDEIRO CELEBRA CONG.kg,10037-4
11239,PICANHA DE CORDEIRO CELEBRA RESF.kg,11239-9
11595,T BONE CORDEIRO LA PARRILLA CONG.kg,11595-9
10481,TBONE CORDEIRO CELEBRA CONG.kg,10481-7
1527,COSTELA SUINA CALEMBA DEFUMADA kg,1527-0
7898056430673,COSTELA SUINA CALEMBA 200g DEFUMADA SKIN,224428-4
1987,COSTELA SUINA D ITALIA DEFUMADA kg,1987-9
10298,COSTELA SUINA SANTA CLARA COZ/DEFUM kg,10298-9
13296,COSTELA SUINO DEFUMADA PAMPLONA kg,13296-9
9108,JOELHO SUINO DTALIA DEFUMADO kg,9108-1
7896495000174,DESENTUPIDOR DIABO VERDE 1l PIA/RALO,71671-5
7896495000334,DESENTUPIDOR DIABO VERDE 150g BIO PO,162419-9
7896495000129,DESENTUPIDOR DIABO VERDE 300g PIA/RALO,71670-7
7896495000051,LIMPA FORNO DIABO VERDE 250g,71663-4
7702626153803,LIMPA FORNO EASY OFF 250ml,71659-6
7891022853322,LIMPA FORNO FORCA AZUL 400ml SPRAY,143092-0
7896745800745,SODA CAUSTICA SODABEL 1kg ESCAMAS 99%,71679-0
7896745803548,SODA LIQUIDA SODABEL 1l,228603-3
7897517200008,CREME AMENDOIM AMENDOCREM 200g ORIGINAL,105861-4
7896181712480,CREME AMENDOIM DACOLONIA 200g PACOCA,222389-9
