EAN-13,Descricao,Cod.Prod
7898964049400,ACAI WHAKA 500ml GOURMET ORG,225655-0
7898964049394,ACAI WHAKA 500ml ORG,225656-8
7896519298716,BOMBOM ACAI DE MARCHI 100g BITES,225491-3
7898956771616,CREME WHAKA 500ml ANTIOX.,182305-1
7896594973614,SORBET ACAI FROOTY 1,5l COM GUARANA,229286-6
7896594972006,SORBET ACAI FROOTY 650g Z.AC POTE,229278-5
7896594973584,SORBET ACAI SPLIT 1,5l COM GUARANA,229280-7
7896594973621,SORBET BLUE FROOTY 200ml COCO/ABAC/SPIR,229282-3
7898956771470,SORVETE WHAKA 500ml CUPUACU TRUF.C/CHOC,182306-0
7898964049158,SORVETE WHAKA 500ml PACOQUITA,225654-1
7891055523919,BUCHA VEGETAL CONDOR ATOALHADA,190298-9
7896565701000,BUCHA VEGETAL BANHO FRESH,142244-8
7891040128730,BUCHA VEGETAL PONJITA ESFOLIAC.PROFUNDA,68558-5
7891055520017,ESCOVA BANHO CONDOR CABO ANATOMICO,68529-1
7896001008502,ESCOVA BETTANIN PLASTICA BANHO RELAX,72805-5
7891055521717,ESPONJA BANHO CONDOR BARBIE,210738-4
7891055521816,ESPONJA BANHO CONDOR HOT WHEELS,210737-6
7891055521519,ESPONJA BANHO CONDOR L3P2,208320-5
7891055523612,ESPONJA BANHO CONDOR SUAVE E MACIA,210734-1
7896565701222,ESPONJA BANHO FRESH KIDS,171575-5
7896565701079,ESPONJA BANHO FRESH MAXXI 107,68542-9
7896240200019,ESPONJA BANHO ORGANICA,231435-5
7896240209197,ESPONJA BANHO ORGANICA INFANTIL,231436-3
7896240200910,ESPONJA BANHO ORGANICA LUVA NAT. SISAL,231437-1
7896565701840,ESPONJA BANHO POMPOM L3P2,184911-5
7891040023394,ESPONJA BANHO PONJITA ANATOMICA GTS.FAC.,68533-0
7891040001187,ESPONJA BANHO PONJITA BANHO DIARIO,68549-6
7891040117277,ESPONJA BANHO PONJITA BANHO DIARIO L3P2,68555-0
53200001315,ESPONJA BANHO PONJITA BOB ESPONJA AMAR,68539-9
7891040104109,ESPONJA BANHO PONJITA ESFOLIAC.PROFUNDA,68547-0
7891040107872,ESPONJA BANHO PONJITA ESPUMA ABUNDANTE,68550-0
7891040141418,ESPONJA BANHO PONJITA FIBRA NATURAL,135218-0
7896565701123,ESPONJA MASSAGEM BANHO FRESH,142242-1
7896240209968,KIT ORGANICA ESSENCIAL HOME SPA,234597-8
7891055657812,LUVA ESFOLIANTE CONDOR SPA CARVAO ATIV.,213567-1
7891055522516,TOUCA BANHO CONDOR MOMENTO VIP,162762-7
7896565701055,TOUCA BANHO FRESH POMPOM L2P1,71004-0
7896025538283,TOUCA BANHO MARCO BONI CETIM ANTI FRIZZ,213421-7
7899014654520,ALIMENTADOR INFANTIL NUBY AZUL,191723-4
7896000677327,ALIMENTADOR KUKA SOFT ROSA,222561-1
7891301037863,BABADOR BABYGO MICKEY AZUL,226131-6
7891301037931,BABADOR BABYGO MINNIE ROSA,226132-4
7908103756394,BABADOR SILICONE BUBA PEGA MIGALHAS AZUL,233042-3
7908103756400,BABADOR SILICONE BUBA PEGA MIGALHAS ROSA,233041-5
7899014646105,BANHEIRA ALEGRIA 28l ROSA,220079-1
7899014615750,BANHEIRA CAJOVIL 20l ADOLETA AZUL,82574-3
7899014615767,BANHEIRA CAJOVIL 20l ADOLETA ROSA,128902-0
7908103756332,BOWL SILICONE BUBA C/VENTOSA AZUL,233081-4
7908103756349,BOWL SILICONE BUBA C/VENTOSA ROSA,233083-0
7899014616580,CABIDE CAJOVIL URSO C/2 ROSA BEBE ADOLET,82535-2
7896033231084,CANECA LILLO 207ml MAGIA AZUL,178102-2
7896033231091,CANECA LILLO 207ml MAGIA LILAS,178101-4
7899525672884,COLHER BUBA AVIAO,228863-0
7908103758220,COLHER BUBA SIILICONE E BAMBU AZUL,233045-8
7908103758237,COLHER BUBA SIILICONE E BAMBU ROSA,233046-6
7896000672957,COLHER P/BEBE KUKA SILICONE,65641-0
7908103718408,COLHER TREINAMENTO BUBA TERMOSSENSIVEL,228858-3
7908103718583,COPO BUBA PAREDE DUPLA TURMINHA DO MAR,233055-5
7908103718576,COPO BUBA PAREDE DUPLA ANIMAL FUN,233054-7
7908103796895,COPO BUBA SILICONE C/CANUDO URSINHO AZUL,233051-2
7908103796901,COPO BUBA SILICONE C/CANUDO URSINHO ROSA,233050-4
7908103726366,COPO BUBA TREINAMENTO C/ALCA REM. AZUL,233053-9
7908103726359,COPO BUBA TREINAMENTO C/ALCA REM. ROSA,233052-0
7891301014208,COPO C/ALCA BABYGO MINNIE 400ml,226213-4
7908103732152,COPO DE TREINAMENTO 360º BUBA AZUL,228856-7
7908103732145,COPO DE TREINAMENTO 360º BUBA ROSA,228857-5
7896000661425,COPO KUKA FUN 330ml MENINA,162852-6
7896000661418,COPO KUKA FUN 330ml MENINO,162853-4
7896000661913,COPO KUKA 360 AZUL,222556-5
7896000661920,COPO KUKA 360 ROSA,222557-3
7899014651475,COPO NUBY 240ml ALCA/BICO SILICONE ROSA,223770-9
7899014653813,COPO NUBY 450ml GATOR C/CANUDO RET.AZUL,223774-1
7899014649793,COPO NUBY 450ml GATOR C/CANUDO RET.ROSA,223775-0
7899014644163,COPO PORTA SUCO CAJOVIL URSO AZUL C/ALCA,183252-2
7899014644170,COPO PORTA SUCO CAJOVIL URSO ROSA C/ALCA,167488-9
7908103726410,ESCOVA E PENTE BUBA CERDAS MACIAS CINZA,233904-8
7908103796192,GARRAFINHA ALUM. BUBA 450ml AVEN.ASTRON,233057-1
7908103796161,GARRAFINHA ALUM.BUBA 450ml AVEN.SEREIA,233056-3
7908103753294,GARRAFINHA BUBA AVENTURAS ASTRONAUTA,228852-4
7908103753263,GARRAFINHA BUBA AVENTURAS SEREIA,228853-2
7908103780214,GARRAFINHA 300ml BUBA TRITAN AZUL,233059-8
7908103780221,GARRAFINHA 300ml BUBA TRITAN ROSA,233058-0
7891301012877,KIT ALIMENTACAO BABYGO MICKEY,226222-3
7891301012938,KIT ALIMENTACAO BABYGO MINNIE,226221-5
7899014644361,KIT ALIMENTACAO NUBY URSO AZUL,223773-3
7899014644378,KIT ALIMENTACAO NUBY URSO ROSA,223772-5
7908103752884,KIT ESCOVA BUBA C/ ESPONJA CINZA,228865-6
7896000674579,KIT ESCOVA/PENTE KUKA BEBE AZUL,158507-0
7896000674586,KIT ESCOVA/PENTE KUKA BEBE ROSA,158506-1
7896025526181,KIT ESCOVA/PENTE MARCO BONI BABY AZUL,192023-5
7896025509566,KIT ESCOVA/PENTE MARCO BONI BABY ROSA,138821-5
7908103753348,KIT HIGIENE BUCAL BUBA C/ PROTETOR,228862-1
7908103737751,KIT LIXAS DE UNHA BUBA FAZENDINHA C/4,228864-8
7908103736129,KIT MANICURE BUBA BRANCO,233060-1
7897517916572,KIT MANICURE RICCA BABY AZUL,223189-1
7897517909253,KIT MANICURE RICCA BABY ROSA,223190-5
7908103769707,KIT TALHERES BUBA AVENTURAS ATRONAUTA,233049-0
7908103769677,KIT TALHERES BUBA AVENTURAS SEREIA,233048-2
7908103726175,KIT TALHERES BUBA TERMOSSENSIVEIS ROSA,228860-5
7908103761664,MASSAGEADOR DE GENGIVA BUBA BANANA,228861-3
7898513496112,MORDEDOR BUBA C/AGUA CENTOPEIA,233044-0
7899525661390,MORDEDOR BUBA C/AGUA SORTIDO,233043-1
7899014645351,PORTA CHUPETA CAJOVIL AZUL BEBE ADOLETA,183250-6
7899014645368,PORTA CHUPETA CAJOVIL ROSA BEBE ADOLETA,183249-2
7896000661012,PORTA CHUPETA KUKA AZUL,158502-9
7908103753256,PRATINHO BOWL BUBA AVENTURAS ASTRONAUTA,228855-9
7908103753225,PRATINHO BOWL BUBA AVENTURAS SEREIA,228854-0
7908103756301,PRATINHO SILICONE BUBA C/VENTOSA AZUL,233038-5
7908103756318,PRATINHO SILICONE BUBA C/VENTOSA ROSA,233039-3
7891301012914,PRATO ALIMENTACAO BABYGO MICKEY TP/DIV,226218-5
7891301022791,PRATO ALIMENTACAO BABYGO MICKEY 3D,226220-7
7891301022807,PRATO ALIMENTACAO BABYGO MINNIE 3D,226219-3
7896000660169,PRATO TERMICO KUKA AZUL,158508-8
