EAN-13,Descricao,Cod.Prod,Validade,Info.nutricional
3000030746173,MAMAO FORMOSA FRESH&GOURMET G 520g PR,307461-7,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746333,MELANCIA FRESH&GOURMETG 500g PR,307463-3,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030746685,MELAO AMARELO FRESH&GOURMET G 500g PR,307466-8,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030619224,TOMATE GRAPE FRESH&GOURMET 300g POTE,306192-2,12,"[""Informacao nutricional - %VD.Porcao de 100g"",""1 fracao."",""Valor energetico: 30kcal = 126,62KJ - 2,00%VD"","":Carboidratos: 0g - 0%VD"",""Proteinas: 0,9g - 2,00%VD"","";Gorduras totais: 0,6g - 1,00%VD"",""Gorduras saturadas: 0g - ,00%VD"","";Gorduras trans: 0g**"","";Fibra alimentar: 0g - ,00%VD"","":Sodio: 0mg - ,00%VD"",""*%Valores diários de referência com base em uma"",""Dieta de 2.000Kcal ou 8.400KJ."",""Seus valores diários podem ser maiores ou"",""menores dependendo das suas necessidades energéticas.**VD nao estabelecido,""]"
3000030578873,CHUCHU FRESH&GOURMET 300g POTE,305788-7,6,"[""Informacao nutricional - %VD.Porcao de 100g"", ""1 fracao."", ""Valor energetico: 17kcal = 71,13KJ - 1,00%VD"", "";Carboidratos: 0g - 0%VD"", ""Proteinas: 0,7g - 1,00%VD"", "";Gorduras totais: 0,1g - ,00%VD"", ""Gorduras saturadas: 0g - ,00%VD"", "";Gorduras trans: 0g**"", ""Fibra alimentar: 0g - ,00%VD"", "";Sodio: 0mg - ,00%VD"", ""*%Valores diários de referência com base em uma"", ""Dieta de 2.000Kcal ou 8.400KJ."", ""Seus valores diários podem ser maiores ou"", ""menores dependendo das suas necessidades energéticas.**VD nao estabelecido,""]"
3000030591117,LEGUMES P/VINAGRETE FRESH&GOURMET 350g,305911-1,7,"[""Informacao nutricional - %VD.Porcao de 100g"", ""1 fracao."", ""Valor energetico: IN01koal=IN13KJ - IP01%VD"", "";Carboidratos: 0g - 0%VD"", ""Proteinas: IN03g - IP03%VD"", "";Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN06g - IP06%VD"", "";Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", "";Sodio: IN10mg - IP10%VD"", ""*%Valores diários de referência com base em uma"", ""Dieta de 2.000Kcal ou 8.400KJ."", ""Seus valores diários podem ser maiores ou"", ""menores dependendo das suas necessidades energéticas.**VD nao estabelecido,""]"
3000030619903,CHUCHU FRESH&GOURMET 400g VACUO,306199-0,6,"[""Informacao nutricional - %VD.Porcao de 100g"", ""1 fracao."", ""Valor energetico: 17kcal = 71,13KJ - 1,00%VD"", "";Carboidratos: 0g - 0%VD"", ""Proteinas: 0,7g - 1,00%VD"", "";Gorduras totais: 0,1g - ,00%VD"", ""Gorduras saturadas: 0g - ,00%VD"", "";Gorduras trans: 0g**"", ""Fibra alimentar: 0g - ,00%VD"", "";Sodio: 0mg - ,00%VD"", ""*%Valores diários de referência com base em uma"", ""Dieta de 2.000Kcal ou 8.400KJ."", ""Seus valores diários podem ser maiores ou"", ""menores dependendo das suas necessidades energéticas.**VD nao estabelecido,""]"
3000030583105,ABOBORA P/DOCE FRESH&GOURMET 500g,305831-0,6,"[""Informacao nutricional - %VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13KJ - IP01%VD "", "";Carboidratos: 0g - 0%VD"", ""Proteinas: IN03g - IP03%VD"", "";Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN06g - IP06%VD"", "";Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", "";Sodio: IN10mg - IP10%VD"", ""*%Valores diários de referência com base em uma"", ""Dieta de 2.000Kcal ou 8.400KJ."", ""Seus valores diários podem ser maiores ou"", ""menores dependendo das suas necessidades energéticas."", ""**VD nao estabelecido,""]"
3000030682266,REPOLHO VERDE RAL.FRESH&GOURMET 250g,306822-6,6,"[""Informacao nutricional - %VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13KJ - IP01%VD "", "";Carboidratos: 0g - 0%VD"", ""Proteinas: IN03g - IP03%VD"", "";Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN06g - IP06%VD"", "";Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", "";Sodio: IN10mg - IP10%VD"", ""*%Valores diários de referência com base em uma"", ""Dieta de 2.000Kcal ou 8.400KJ."", ""Seus valores diários podem ser maiores ou"", ""menores dependendo das suas necessidades energéticas."", ""**VD nao estabelecido,""]"
3000030587356,COUVE PICADA FRESH&GOURMET 300g POTE,305873-5,6,"[""Informacao nutricional - %VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: 32kcal = 133,89KJ - 2,00%VD "", "";Carboidratos: 0g - 0%VD"", ""Proteinas: 2g - 4,00%VD"", "";Gorduras totais: 0g - ,00%VD"", ""Gorduras saturadas: 0g - ,00%VD"", "";Gorduras trans: 0g**"", ""Fibra alimentar: 0g - ,00%VD"", "";Sodio: 0mg - ,00%VD"", ""*%Valores diários de referência com base em uma"", ""Dieta de 2.000Kcal ou 8.400KJ."", ""Seus valores diários podem ser maiores ou"", ""menores dependendo das suas necessidades energéticas."", ""**VD nao estabelecido,""]"
